VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
2021-02-16 15:00:00,16552,741568,21643.0,317724,,,16552,741568,21643,317724,38195,1059202
2021-02-17 15:00:00,20602,762170,27102.0,344826,,,20602,762170,27102,344826,47704,1106906
2021-02-18 15:00:00,3152,765322,4713.0,349539,,,3152,765322,4713,349539,7865,1114771
2021-02-19 15:00:00,10241,775563,20385.0,369924,,,10241,775563,20385,369924,30626,1145397
2021-02-20 15:00:00,10289,785852,20849.0,390773,,,10289,785852,20849,390773,31138,1176535
2021-02-21 15:00:00,6143,791995,7917.0,398690,,,6143,791995,7917,398690,14060,1190595
2021-02-22 15:00:00,8073,800068,15864.0,414554,,,8073,800068,15864,414554,23937,1214532
2021-02-23 15:00:00,15575,815643,16447.0,431001,,,15575,815643,16447,431001,32022,1246554
2021-02-24 15:00:00,17950,833593,25127.0,456128,,,17950,833593,25127,456128,43077,1289631
2021-02-25 15:00:00,20397,853990,26859.0,482987,,,20397,853990,26859,482987,47256,1336887
2021-02-26 15:00:00,26801,880791,26417.0,509404,,,26801,880791,26417,509404,53218,1390105
2021-02-27 15:00:00,16084,896875,11670.0,521074,,,16084,896875,11670,521074,27754,1417859
2021-02-28 15:00:00,15484,912359,4795.0,525869,,,15484,912359,4795,525869,20279,1438138
2021-03-01 15:00:00,25849,938208,12490.0,538359,,,25849,938208,12490,538359,38339,1476477
2021-03-02 15:00:00,23964,962172,13287.0,551646,29.0,29.0,23993,962201,13316,551675,37280,1513757
2021-03-03 15:00:00,30185,992357,18338.0,569984,171.0,200.0,30356,992557,18509,570184,48694,1562451
2021-03-04 15:00:00,31052,1023409,18094.0,588078,4059.0,4259.0,35111,1027668,22153,592337,53205,1615656
2021-03-05 15:00:00,29540,1052949,19343.0,607421,4906.0,9165.0,34446,1062114,24249,616586,53789,1669445
2021-03-06 15:00:00,17747,1070696,8894.0,616315,5986.0,15151.0,23733,1085847,14880,631466,32627,1702072
2021-03-07 15:00:00,12058,1082754,4785.0,621100,6610.0,21761.0,18668,1104515,11395,642861,23453,1725525
2021-03-08 15:00:00,26156,1108910,8724.0,629824,8284.0,30045.0,34440,1138955,17008,659869,43164,1768689
2021-03-09 15:00:00,26364,1135274,15350.0,645174,8343.0,38388.0,34707,1173662,23693,683562,50057,1818746
2021-03-10 15:00:00,30108,1165382,15871.0,661045,7939.0,46327.0,38047,1211709,23810,707372,53918,1872664
2021-03-11 15:00:00,36171,1201553,16363.0,677408,4035.0,50362.0,40206,1251915,20398,727770,56569,1929233
2021-03-12 15:00:00,37162,1238715,17977.0,695385,2916.0,53278.0,40078,1291993,20893,748663,58055,1987288
2021-03-13 15:00:00,22588,1261303,10188.0,705573,1600.0,54878.0,24188,1316181,11788,760451,34376,2021664
2021-03-14 15:00:00,17836,1279139,6647.0,712220,993.0,55871.0,18829,1335010,7640,768091,25476,2047140
2021-03-15 15:00:00,29969,1309108,11291.0,723511,595.0,56466.0,30564,1365574,11886,779977,41855,2088995
2021-03-16 15:00:00,33606,1342714,13513.0,737024,764.0,57230.0,34370,1399944,14277,794254,47883,2136878
2021-03-17 15:00:00,37733,1380447,16930.0,753954,1181.0,58411.0,38914,1438858,18111,812365,55844,2192722
2021-03-18 15:00:00,41462,1421909,12573.0,766527,1358.0,59769.0,42820,1481678,13931,826296,55393,2248115
2021-03-19 15:00:00,38287,1460196,15557.0,782084,1044.0,60813.0,39331,1521009,16601,842897,54888,2303003
2021-03-20 15:00:00,24514,1484710,9999.0,792083,1120.0,61933.0,25634,1546643,11119,854016,35633,2338636
2021-03-21 15:00:00,19121,1503831,7772.0,799855,328.0,62261.0,19449,1566092,8100,862116,27221,2365857
2021-03-22 15:00:00,32586,1536417,11599.0,811454,828.0,63089.0,33414,1599506,12427,874543,45013,2410870
2021-03-23 15:00:00,37795,1574212,17437.0,828891,1543.0,64632.0,39338,1638844,18980,893523,56775,2467645
2021-03-24 15:00:00,41169,1615381,21141.0,850032,1374.0,66006.0,42543,1681387,22515,916038,63684,2531329
2021-03-25 15:00:00,42470,1657851,20993.0,871025,2512.0,68518.0,44982,1726369,23505,939543,65975,2597304
2021-03-26 15:00:00,36611,1694462,26430.0,897455,2499.0,71017.0,39110,1765479,28929,968472,65540,2662844
2021-03-27 15:00:00,27841,1722303,16844.0,914299,2764.0,73781.0,30605,1796084,19608,988080,47449,2710293
2021-03-28 15:00:00,17012,1739315,12547.0,926846,1614.0,75395.0,18626,1814710,14161,1002241,31173,2741466
2021-03-29 15:00:00,29747,1769062,26482.0,953328,1134.0,76529.0,30881,1845591,27616,1029857,57363,2798829
2021-03-30 15:00:00,40061,1809123,29120.0,982448,1847.0,78376.0,41908,1887499,30967,1060824,71028,2869857
2021-03-31 15:00:00,41065,1850188,34821.0,1017269,5744.0,84120.0,46809,1934308,40565,1101389,81630,2951487
2021-04-01 15:00:00,40584,1890772,39704.0,1056973,5605.0,89725.0,46189,1980497,45309,1146698,85893,3037380
2021-04-02 15:00:00,34945,1925717,32690.0,1089663,6091.0,95816.0,41036,2021533,38781,1185479,73726,3111106
2021-04-03 15:00:00,21579,1947296,18610.0,1108273,4422.0,100238.0,26001,2047534,23032,1208511,44611,3155717
2021-04-04 15:00:00,8276,1955572,10130.0,1118403,959.0,101197.0,9235,2056769,11089,1219600,19365,3175082
2021-04-05 15:00:00,27950,1983522,29051.0,1147454,6636.0,107833.0,34586,2091355,35687,1255287,63637,3238719
2021-04-06 15:00:00,39892,2023414,30537.0,1177991,10470.0,118303.0,50362,2141717,41007,1296294,80899,3319618
2021-04-07 15:00:00,36167,2059581,34249.0,1212240,12944.0,131247.0,49111,2190828,47193,1343487,83360,3402978
2021-04-08 15:00:00,42421,2102002,36037.0,1248277,13858.0,145105.0,56279,2247107,49895,1393382,92316,3495294
2021-04-09 15:00:00,34116,2136118,36340.0,1284617,14490.0,159595.0,48606,2295713,50830,1444212,84946,3580240
2021-04-10 15:00:00,24003,2160121,22989.0,1307606,7614.0,167209.0,31617,2327330,30603,1474815,54606,3634846
2021-04-11 15:00:00,17553,2177674,13238.0,1320844,10623.0,177832.0,28176,2355506,23861,1498676,41414,3676260
2021-04-12 15:00:00,24689,2202363,33134.0,1353978,10930.0,188762.0,35619,2391125,44064,1542740,68753,3745013
2021-04-13 15:00:00,126927,2329290,90651.0,1444629,3292.0,192054.0,130219,2521344,93943,1636683,220870,3965883
2021-04-14 15:00:00,40822,2370112,37845.0,1482474,209.0,192263.0,41031,2562375,38054,1674737,78876,4044759
2021-04-15 15:00:00,41852,2411964,39210.0,1521684,169.0,192432.0,42021,2604396,39379,1714116,81231,4125990
2021-04-16 15:00:00,37369,2449333,38731.0,1560415,22.0,192454.0,37391,2641787,38753,1752869,76122,4202112
2021-04-17 15:00:00,32994,2482327,21926.0,1582341,12.0,192466.0,33006,2674793,21938,1774807,54932,4257044
2021-04-18 15:00:00,20016,2502343,16127.0,1598468,4.0,192470.0,20020,2694813,16131,1790938,36147,4293191
2021-04-19 15:00:00,29950,2532293,36514.0,1634982,61.0,192531.0,30011,2724824,36575,1827513,66525,4359716
2021-04-20 15:00:00,33112,2565405,44094.0,1679076,55.0,192586.0,33167,2757991,44149,1871662,77261,4436977
2021-04-21 15:00:00,39810,2605215,46850.0,1725926,21.0,192607.0,39831,2797822,46871,1918533,86681,4523658
2021-04-22 15:00:00,36407,2641622,41891.0,1767817,16.0,192623.0,36423,2834245,41907,1960440,78314,4601972
2021-04-23 15:00:00,33140,2674762,39959.0,1807776,12.0,192635.0,33152,2867397,39971,2000411,73111,4675083
2021-04-24 15:00:00,26359,2701121,28574.0,1836350,80.0,192715.0,26439,2893836,28654,2029065,55013,4730096
2021-04-25 15:00:00,20203,2721324,10886.0,1847236,30.0,192745.0,20233,2914069,10916,2039981,31119,4761215
2021-04-26 15:00:00,27408,2748732,32732.0,1879968,203.0,192948.0,27611,2941680,32935,2072916,60343,4821558
2021-04-27 15:00:00,26715,2775447,33004.0,1912972,1095.0,194043.0,27810,2969490,34099,2107015,60814,4882372
2021-04-28 15:00:00,28986,2804433,39447.0,1952419,1360.0,195403.0,30346,2999836,40807,2147822,69793,4952165
2021-04-29 15:00:00,27383,2831816,39395.0,1991814,1462.0,196865.0,28845,3028681,40857,2188679,68240,5020405
2021-04-30 15:00:00,28231,2860047,32090.0,2023904,1639.0,198504.0,29870,3058551,33729,2222408,61960,5082365
2021-05-01 15:00:00,20288,2880335,26659.0,2050563,1015.0,199519.0,21303,3079854,27674,2250082,47962,5130327
2021-05-02 15:00:00,10256,2890591,16982.0,2067545,818.0,200337.0,11074,3090928,17800,2267882,28056,5158383
2021-05-03 15:00:00,13064,2903655,29713.0,2097258,1914.0,202251.0,14978,3105906,31627,2299509,44691,5203074
2021-05-04 15:00:00,14213,2917868,39510.0,2136768,1733.0,203984.0,15946,3121852,41243,2340752,55456,5258530
2021-05-05 15:00:00,19318,2937186,37744.0,2174512,1917.0,205901.0,21235,3143087,39661,2380413,58979,5317509
2021-05-06 15:00:00,16977,2954163,40548.0,2215060,1711.0,207612.0,18688,3161775,42259,2422672,59236,5376745
2021-05-07 15:00:00,17402,2971565,36005.0,2251065,1952.0,209564.0,19354,3181129,37957,2460629,55359,5432104
2021-05-08 15:00:00,10780,2982345,31123.0,2282188,1291.0,210855.0,12071,3193200,32414,2493043,43194,5475298
2021-05-09 15:00:00,5059,2987404,11861.0,2294049,695.0,211550.0,5754,3198954,12556,2505599,17615,5492913
2021-05-10 15:00:00,8939,2996343,31098.0,2325147,1357.0,212907.0,10296,3209250,32455,2538054,41394,5534307
2021-05-11 15:00:00,12192,3008535,30273.0,2355420,1443.0,214350.0,13635,3222885,31716,2569770,43908,5578215
2021-05-12 15:00:00,13909,3022444,38541.0,2393961,1909.0,216259.0,15818,3238703,40450,2610220,54359,5632574
2021-05-13 15:00:00,21810,3044254,33371.0,2427332,1352.0,217611.0,23162,3261865,34723,2644943,56533,5689107
2021-05-14 15:00:00,24314,3068568,29953.0,2457285,1770.0,219381.0,26084,3287949,31723,2676666,56037,5745144
2021-05-15 15:00:00,21836,3090404,24997.0,2482282,1532.0,220913.0,23368,3311317,26529,2703195,48365,5793509
2021-05-16 15:00:00,9057,3099461,17504.0,2499786,1113.0,222026.0,10170,3321487,18617,2721812,27674,5821183
2021-05-17 15:00:00,16844,3116305,28355.0,2528141,1948.0,223974.0,18792,3340279,30303,2752115,47147,5868330
2021-05-18 15:00:00,21246,3137551,30670.0,2558811,1947.0,225921.0,23193,3363472,32617,2784732,53863,5922193
2021-05-19 15:00:00,27575,3165126,32360.0,2591171,1623.0,227544.0,29198,3392670,33983,2818715,61558,5983751
2021-05-20 15:00:00,20779,3185905,33253.0,2624424,1965.0,229509.0,22744,3415414,35218,2853933,55997,6039748
2021-05-21 15:00:00,19124,3205029,30220.0,2654644,1612.0,231121.0,20736,3436150,31832,2885765,50956,6090704
2021-05-22 15:00:00,16873,3221902,20592.0,2675236,1270.0,232391.0,18143,3454293,21862,2907627,38735,6129439
2021-05-23 15:00:00,8740,3230642,11406.0,2686642,960.0,233351.0,9700,3463993,12366,2919993,21106,6150545
2021-05-24 15:00:00,13454,3244096,17847.0,2704489,1481.0,234832.0,14935,3478928,19328,2939321,32782,6183327
2021-05-25 15:00:00,12886,3256982,18761.0,2723250,1328.0,236160.0,14214,3493142,20089,2959410,32975,6216302
2021-05-26 15:00:00,18258,3275240,19433.0,2742683,1508.0,237668.0,19766,3512908,20941,2980351,39199,6255501
2021-05-27 15:00:00,11675,3286915,18626.0,2761309,1133.0,238801.0,12808,3525716,19759,3000110,31434,6286935
2021-05-28 15:00:00,12472,3299387,19727.0,2781036,1402.0,240203.0,13874,3539590,21129,3021239,33601,6320536
2021-05-29 15:00:00,9532,3308919,11618.0,2792654,936.0,241139.0,10468,3550058,12554,3033793,22086,6342622
2021-05-30 15:00:00,4892,3313811,6471.0,2799125,596.0,241735.0,5488,3555546,7067,3040860,11959,6354581
2021-05-31 15:00:00,1771,3315582,3684.0,2802809,304.0,242039.0,2075,3557621,3988,3044848,5759,6360340
2021-06-01 15:00:00,9367,3324949,16571.0,2819380,1143.0,243182.0,10510,3568131,17714,3062562,27081,6387421
2021-06-02 15:00:00,10138,3335087,16797.0,2836177,960.0,244142.0,11098,3579229,17757,3080319,27895,6415316
2021-06-03 15:00:00,7889,3342976,21153.0,2857330,1083.0,245225.0,8972,3588201,22236,3102555,30125,6445441
2021-06-04 15:00:00,8212,3351188,22159.0,2879489,1123.0,246348.0,9335,3597536,23282,3125837,31494,6476935
2021-06-05 15:00:00,6988,3358176,19362.0,2898851,718.0,247066.0,7706,3605242,20080,3145917,27068,6504003
2021-06-06 15:00:00,3465,3361641,7178.0,2906029,420.0,247486.0,3885,3609127,7598,3153515,11063,6515066
2021-06-07 15:00:00,6822,3368463,15713.0,2921742,725.0,248211.0,7547,3616674,16438,3169953,23260,6538326
2021-06-08 15:00:00,6675,3375138,19682.0,2941424,816.0,249027.0,7491,3624165,20498,3190451,27173,6565499
2021-06-09 15:00:00,8197,3383335,23835.0,2965259,968.0,249995.0,9165,3633330,24803,3215254,33000,6598499
2021-06-10 15:00:00,7164,3390499,19066.0,2984325,897.0,250892.0,8061,3641391,19963,3235217,27127,6625626
2021-06-11 15:00:00,7433,3397932,17647.0,3001972,1125.0,252017.0,8558,3649949,18772,3253989,26205,6651831
2021-06-12 15:00:00,5234,3403166,14675.0,3016647,602.0,252619.0,5836,3655785,15277,3269266,20511,6672342
2021-06-13 15:00:00,1930,3405096,7549.0,3024196,426.0,253045.0,2356,3658141,7975,3277241,9905,6682247
2021-06-14 15:00:00,5652,3410748,11771.0,3035967,727.0,253772.0,6379,3664520,12498,3289739,18150,6700397
2021-06-15 15:00:00,5634,3416382,14299.0,3050266,859.0,254631.0,6493,3671013,15158,3304897,20792,6721189
2021-06-16 15:00:00,8711,3425093,21495.0,3071761,753.0,255384.0,9464,3680477,22248,3327145,30959,6752148
2021-06-17 15:00:00,6668,3431761,12356.0,3084117,720.0,256104.0,7388,3687865,13076,3340221,19744,6771892
2021-06-18 15:00:00,6832,3438593,12634.0,3096751,694.0,256798.0,7526,3695391,13328,3353549,20160,6792052
2021-06-19 15:00:00,4655,3443248,9341.0,3106092,614.0,257412.0,5269,3700660,9955,3363504,14610,6806662
2021-06-20 15:00:00,2496,3445744,5021.0,3111113,377.0,257789.0,2873,3703533,5398,3368902,7894,6814556
2021-06-21 15:00:00,5541,3451285,5304.0,3116417,635.0,258424.0,6176,3709709,5939,3374841,11480,6826036
2021-06-22 15:00:00,5193,3456478,8844.0,3125261,681.0,259105.0,5874,3715583,9525,3384366,14718,6840754
2021-06-23 15:00:00,6056,3462534,10263.0,3135524,641.0,259746.0,6697,3722280,10904,3395270,16960,6857714
2021-06-24 15:00:00,5918,3468452,8174.0,3143698,590.0,260336.0,6508,3728788,8764,3404034,14682,6872396
2021-06-25 15:00:00,5810,3474262,8599.0,3152297,620.0,260956.0,6430,3735218,9219,3413253,15029,6887425
2021-06-26 15:00:00,3700,3477962,6266.0,3158563,393.0,261349.0,4093,3739311,6659,3419912,10359,6897784
2021-06-27 15:00:00,2792,3480754,3529.0,3162092,182.0,261531.0,2974,3742285,3711,3423623,6503,6904287
2021-06-28 15:00:00,4722,3485476,6084.0,3168176,521.0,262052.0,5243,3747528,6605,3430228,11327,6915614
2021-06-29 15:00:00,5063,3490539,6485.0,3174661,517.0,262569.0,5580,3753108,7002,3437230,12065,6927679
2021-06-30 15:00:00,5587,3496126,7391.0,3182052,603.0,263172.0,6190,3759298,7994,3445224,13581,6941260
2021-07-01 15:00:00,5279,3501405,6908.0,3188960,486.0,263658.0,5765,3765063,7394,3452618,12673,6953933
2021-07-02 15:00:00,5262,3506667,6812.0,3195772,518.0,264176.0,5780,3770843,7330,3459948,12592,6966525
2021-07-03 15:00:00,3255,3509922,4061.0,3199833,260.0,264436.0,3515,3774358,4321,3464269,7576,6974101
2021-07-04 15:00:00,490,3510412,540.0,3200373,66.0,264502.0,556,3774914,606,3464875,1096,6975197
2021-07-05 15:00:00,3746,3514158,3955.0,3204328,280.0,264782.0,4026,3778940,4235,3469110,7981,6983178
2021-07-06 15:00:00,4458,3518616,6202.0,3210530,450.0,265232.0,4908,3783848,6652,3475762,11110,6994288
2021-07-07 15:00:00,4461,3523077,6347.0,3216877,480.0,265712.0,4941,3788789,6827,3482589,11288,7005576
2021-07-08 15:00:00,4816,3527893,6099.0,3222976,562.0,266274.0,5378,3794167,6661,3489250,11477,7017053
2021-07-09 15:00:00,5320,3533213,6604.0,3229580,571.0,266845.0,5891,3800058,7175,3496425,12495,7029548
2021-07-10 15:00:00,3508,3536721,4364.0,3233944,302.0,267147.0,3810,3803868,4666,3501091,8174,7037722
2021-07-11 15:00:00,2661,3539382,2546.0,3236490,223.0,267370.0,2884,3806752,2769,3503860,5430,7043152
2021-07-12 15:00:00,4395,3543777,5098.0,3241588,374.0,267744.0,4769,3811521,5472,3509332,9867,7053019
2021-07-13 15:00:00,4730,3548507,4571.0,3246159,361.0,268105.0,5091,3816612,4932,3514264,9662,7062681
2021-07-14 15:00:00,4593,3553100,5231.0,3251390,420.0,268525.0,5013,3821625,5651,3519915,10244,7072925
2021-07-15 15:00:00,4861,3557961,4957.0,3256347,357.0,268882.0,5218,3826843,5314,3525229,10175,7083100
2021-07-16 15:00:00,6260,3564221,5796.0,3262143,400.0,269282.0,6660,3833503,6196,3531425,12456,7095556
2021-07-17 15:00:00,3402,3567623,3545.0,3265688,299.0,269581.0,3701,3837204,3844,3535269,7246,7102802
2021-07-18 15:00:00,2296,3569919,2365.0,3268053,109.0,269690.0,2405,3839609,2474,3537743,4770,7107572
2021-07-19 15:00:00,5220,3575139,4457.0,3272510,374.0,270064.0,5594,3845203,4831,3542574,10051,7117623
2021-07-20 15:00:00,5319,3580458,4674.0,3277184,366.0,270430.0,5685,3850888,5040,3547614,10359,7127982
2021-07-21 15:00:00,5608,3586066,4916.0,3282100,412.0,270842.0,6020,3856908,5328,3552942,10936,7138918
2021-07-22 15:00:00,5982,3592048,4624.0,3286724,404.0,271246.0,6386,3863294,5028,3557970,11010,7149928
2021-07-23 15:00:00,6811,3598859,4857.0,3291581,488.0,271734.0,7299,3870593,5345,3563315,12156,7162084
2021-07-24 15:00:00,4269,3603128,3195.0,3294776,264.0,271998.0,4533,3875126,3459,3566774,7728,7169812
2021-07-25 15:00:00,3288,3606416,1116.0,3295892,138.0,272136.0,3426,3878552,1254,3568028,4542,7174354
2021-07-26 15:00:00,6185,3612601,3899.0,3299791,409.0,272545.0,6594,3885146,4308,3572336,10493,7184847
2021-07-27 15:00:00,6329,3618930,4057.0,3303848,450.0,272995.0,6779,3891925,4507,3576843,10836,7195683
2021-07-28 15:00:00,6775,3625705,4004.0,3307852,452.0,273447.0,7227,3899152,4456,3581299,11231,7206914
2021-07-29 15:00:00,6780,3632485,4145.0,3311997,410.0,273857.0,7190,3906342,4555,3585854,11335,7218249
2021-07-30 15:00:00,7491,3639976,4512.0,3316509,517.0,274374.0,8008,3914350,5029,3590883,12520,7230769
2021-07-31 15:00:00,4778,3644754,3041.0,3319550,271.0,274645.0,5049,3919399,3312,3594195,8090,7238859
2021-08-01 15:00:00,3733,3648487,2081.0,3321631,152.0,274797.0,3885,3923284,2233,3596428,5966,7244825
2021-08-02 15:00:00,6988,3655475,3652.0,3325283,332.0,275129.0,7320,3930604,3984,3600412,10972,7255797
2021-08-03 15:00:00,6957,3662432,3891.0,3329174,502.0,275631.0,7459,3938063,4393,3604805,11350,7267147
2021-08-04 15:00:00,7139,3669571,3893.0,3333067,527.0,276158.0,7666,3945729,4420,3609225,11559,7278706
2021-08-05 15:00:00,7621,3677192,4108.0,3337175,534.0,276692.0,8155,3953884,4642,3613867,12263,7290969
2021-08-06 15:00:00,8245,3685437,4695.0,3341870,448.0,277140.0,8693,3962577,5143,3619010,13388,7304357
2021-08-07 15:00:00,5230,3690667,2792.0,3344662,262.0,277402.0,5492,3968069,3054,3622064,8284,7312641
2021-08-08 15:00:00,3935,3694602,2044.0,3346706,140.0,277542.0,4075,3972144,2184,3624248,6119,7318760
2021-08-09 15:00:00,6898,3701500,4497.0,3351203,361.0,277903.0,7259,3979403,4858,3629106,11756,7330516
2021-08-10 15:00:00,7090,3708590,4438.0,3355641,334.0,278237.0,7424,3986827,4772,3633878,11862,7342378
2021-08-11 15:00:00,7012,3715602,4416.0,3360057,438.0,278675.0,7450,3994277,4854,3638732,11866,7354244
2021-08-12 15:00:00,8537,3724139,4687.0,3364744,437.0,279112.0,8974,4003251,5124,3643856,13661,7367905
2021-08-13 15:00:00,7074,3731213,5327.0,3370071,381.0,279493.0,7455,4010706,5708,3649564,12782,7380687
2021-08-14 15:00:00,4908,3736121,3335.0,3373406,282.0,279775.0,5190,4015896,3617,3653181,8525,7389212
2021-08-15 15:00:00,3313,3739434,2727.0,3376133,163.0,279938.0,3476,4019372,2890,3656071,6203,7395415
2021-08-16 15:00:00,5378,3744812,5051.0,3381184,348.0,280286.0,5726,4025098,5399,3661470,10777,7406192
2021-08-17 15:00:00,6904,3751716,5172.0,3386356,385.0,280671.0,7289,4032387,5557,3667027,12461,7418653
2021-08-18 15:00:00,6476,3758192,5267.0,3391623,463.0,281134.0,6939,4039326,5730,3672757,12206,7430859
2021-08-19 15:00:00,5954,3764146,5302.0,3396925,407.0,281541.0,6361,4045687,5709,3678466,11663,7442522
